(94388 101),1
(94388 108),2
(94388 117),1
(94388 122),1
(94388 142),1
(94388 219),1
(94388 247),2
(94388 255),2
(94391 39),2
(94391 68),1
(94391 101),2
(94391 146),3
(94391 160),1
(94393 11),1
(94393 12),3
(94393 19),2
(94393 26),1
(94393 76),1
(94393 81),1
(94393 142),2
(94393 144),2
(94393 157),1
(94396 3),1
(94396 12),1
(94396 29),2
(94396 63),1
(94396 74),1
(94396 92),1
(94396 98),3
(94396 111),1
(94399 22),4
(94399 41),1
(94399 46),1
(94399 49),2
(94399 57),2
(94399 64),1
(94399 72),1
(94399 74),1
(94399 90),1
(94399 98),2
(94399 105),2
(94399 112),2
(94399 129),2
(94349 4),3
(94349 14),1
(94349 21),1
(94349 22),2
(94349 26),1
(94349 35),1
(94349 44),2
(94349 54),1
(94349 64),3
(94349 66),7
(94349 79),4
(94349 85),2
(94349 88),6
(94349 89),1
(94349 94),1
(94349 100),1
(94351 9),1
(94351 10),1
(94351 24),3
(94351 26),1
(94351 30),3
(94351 32),1
(94351 40),4
(94351 51),1
(94351 52),2
(94351 55),3
(94351 56),2
(94351 70),2
(94351 73),1
(94351 83),1
(94351 84),1
(94351 85),3
(94351 90),3
(94351 91),1
(94351 105),1
(94351 106),3
(94351 122),1
(94351 124),2
(94351 131),1
(94351 132),1
(94351 135),1
(94351 991),2
(94353 24),3
(94353 26),2
(94353 35),1
(94353 45),3
(94353 52),1
(94353 61),1
(94353 66),2
(94353 73),1
(94353 83),1
(94353 85),3
(94353 88),1
(94353 98),1
(94353 100),2
(94353 126),1
(94353 131),1
(94353 135),2
(94353 137),2
(94353 139),5
(94353 146),4
(94353 151),5
(94353 165),2
(94353 169),2
(94353 171),2
(94353 174),1
(94353 182),3
(94353 205),1
(94355 1),1
(94355 12),1
(94355 16),2
(94355 24),2
(94355 33),2
(94355 42),3
(94355 43),1
(94355 77),1
(94355 87),1
(94355 94),1
(94355 99),1
(94355 103),4
(94355 107),1
(94355 112),3
(94355 127),1
(94355 130),3
(94355 136),3
(94355 137),6
(94355 141),1
(94355 169),1
(94355 175),1
(94355 187),1
(94355 188),3
(94355 204),1
(94355 206),2
(94355 222),1
(94355 234),1
(94355 236),1
(94355 238),1
(94372 5),7
(94372 13),1
(94372 22),1
(94372 48),1
(94372 52),1
(94372 57),7
(94372 59),7
(94372 63),1
(94372 65),1
(94372 77),2
(94372 85),1
(94372 102),1
(94372 109),1
(94372 114),1
(94372 116),2
(94372 138),1
(94372 140),1
(94372 146),1
(94372 156),1
(94372 165),4
(94372 167),2
(94372 169),1
(94372 207),1
(94372 214),1
(94372 217),1
(94372 240),2
(94372 265),1
(94372 266),1
(94372 991),1
(94382 1),1
(94382 9),2
(94382 14),1
(94382 19),1
(94382 27),1
(94382 28),1
(94382 30),3
(94382 32),1
(94382 34),1
(94382 37),2
(94382 48),1
(94382 50),1
(94382 55),1
(94382 59),1
(94382 62),1
(94382 69),6
(94382 71),3
(94382 84),1
(94382 97),1
(94382 98),1
(94382 101),1
(94382 104),1
(94382 110),2
(94382 112),1
(94382 120),2
(94382 122),1
(94382 125),4
(94382 134),1
(94382 137),1
(94382 147),1
(94382 161),1
(94385 8),2
(94385 15),1
(94385 22),2
(94385 23),1
(94385 50),1
(94385 71),1
(94385 85),1
(94385 87),4
(94385 109),5
(94385 110),1
(94385 128),1
(94385 132),1
(94385 157),1
(94385 184),1
(94385 185),1
(94385 200),1
(94385 204),1
(94385 221),1
(94388 2),1
(94388 26),1
(94388 48),1
(94388 50),1
(94388 62),1
(94388 81),1
(94388 83),3
(94388 98),1
(94388 112),1
